鼥	
釛	
軷	
釟	
蚆	
弝	
抜	
朳	
覇	
胈	
豝	
癹	
矲	
壩	
菝	
犮	
鲅	
仈	
罷	
魃	
岜	
茇	
笆	
钯	
粑	
耙	
跋	
灞	
叭	
捌	
靶	
疤	
芭	
扒	
坝	
霸	
罢	
拔	
巴	
爸	
八	
把	
吧	
竡	
拝	
擘	
粨	
栢	
粺	
捭	
擺	
敗	
稗	
挀	
伯	
佰	
呗	
掰	
柏	
败	
拜	
摆	
百	
白	
斒	
魬	
螁	
靽	
鉡	
怑	
鈑	
昄	
姅	
柈	
蝂	
絆	
舨	
頒	
粄	
湴	
闆	
癍	
攽	
瘢	
钣	
辦	
阪	
坂	
颁	
扳	
绊	
瓣	
拌	
扮	
斑	
伴	
搬	
般	
板	
班	
半	
版	
办	
峀	
艕	
玤	
縍	
搒	
鎊	
鞤	
塝	
謗	
蒡	
旁	
綁	
垹	
幇	
梆	
幫	
膀	
谤	
蚌	
镑	
傍	
磅	
绑	
浜	
邦	
榜	
棒	
帮	
飹	
忁	
髱	
鳵	
駂	
靤	
怉	
齙	
炮	
虣	
鴇	
鑤	
媬	
珤	
蕔	
窇	
笣	
趵	
瀑	
褓	
儤	
鮑	
龅	
鸨	
剥	
飽	
刨	
寳	
菢	
報	
雹	
勹	
寶	
孢	
宀	
葆	
褒	
苞	
曝	
胞	
豹	
煲	
鲍	
堡	
薄	
饱	
暴	
爆	
保	
抱	
宝	
报	
包	
栟	
泍	
錛	
夯	
坌	
畚	
犇	
渀	
贲	
锛	
苯	
奔	
笨	
本	
閍	
嵭	
塴	
菶	
琫	
埲	
祊	
甏	
伻	
繃	
嘣	
迸	
绷	
甭	
崩	
蹦	
泵	
犕	
鵯	
鄁	
糒	
藣	
骳	
梖	
狽	
襬	
憊	
桮	
鞁	
揹	
鋇	
誖	
椑	
庳	
鐾	
牬	
琲	
鞴	
褙	
鹎	
邶	
珼	
偝	
輩	
盃	
碚	
貝	
臂	
狈	
唄	
孛	
備	
陂	
悖	
钡	
惫	
焙	
蓓	
辈	
卑	
碑	
悲	
备	
贝	
杯	
倍	
背	
北	
被	
滭	
驆	
鷝	
馝	
梐	
鼊	
鷩	
鵖	
鮅	
飶	
襣	
鄨	
奰	
蜌	
朼	
駜	
罼	
疕	
熚	
貏	
蓽	
贔	
腷	
廦	
獘	
鏎	
篳	
坒	
髲	
鄪	
怭	
幤	
愊	
縪	
舭	
匂	
蹕	
閇	
綼	
珌	
潷	
秘	
觱	
皕	
嗶	
痺	
邲	
沘	
獙	
粊	
賁	
柀	
狴	
詖	
疪	
荸	
閟	
睥	
躄	
斃	
萆	
堛	
幣	
筚	
愎	
泌	
嬶	
跸	
佖	
箅	
裨	
閉	
繴	
襞	
彃	
苾	
秕	
畢	
毖	
妼	
髀	
嬖	
芘	
蓖	
楅	
湢	
筆	
篦	
薜	
妣	
哔	
濞	
匕	
铋	
荜	
陛	
滗	
婢	
吡	
鄙	
庇	
敝	
痹	
弼	
蔽	
辟	
毙	
璧	
畀	
屄	
弊	
彼	
闭	
鼻	
避	
壁	
毕	
碧	
俾	
币	
逼	
笔	
必	
比	
鴘	
稨	
汳	
峅	
甂	
惼	
豍	
艑	
揙	
萹	
辧	
髟	
辮	
籩	
窆	
缏	
碥	
箯	
抃	
貶	
鳊	
邉	
蝙	
辯	
忭	
笾	
褊	
釆	
変	
砭	
編	
汴	
邊	
苄	
變	
弁	
煸	
匾	
辫	
卞	
贬	
辨	
鞭	
辩	
扁	
编	
遍	
变	
边	
便	
鰾	
飇	
臕	
瀌	
墂	
爂	
贆	
檦	
滮	
猋	
瘭	
鏢	
熛	
鑣	
驃	
褾	
藨	
諘	
儦	
飆	
鳔	
錶	
俵	
摽	
飑	
標	
灬	
杓	
镳	
骠	
婊	
裱	
膘	
镖	
飚	
飙	
彪	
标	
表	
蛂	
徶	
襒	
虌	
鼈	
癟	
柲	
蟞	
咇	
鱉	
彆	
蹩	
別	
瘪	
鳖	
憋	
别	
鑌	
霦	
髕	
椕	
虨	
臏	
濵	
擯	
蠙	
瀕	
繽	
鬢	
濱	
邠	
儐	
傧	
賓	
髌	
豳	
膑	
玢	
摈	
殯	
槟	
缤	
殡	
濒	
镔	
鬓	
滨	
宾	
彬	
斌	
鋲	
蛃	
鞆	
庰	
怲	
窉	
陃	
誁	
苪	
檳	
梹	
寎	
竝	
餠	
棅	
倂	
垪	
稟	
抦	
掤	
偋	
昺	
鞞	
併	
餅	
屏	
邴	
幷	
摒	
氷	
禀	
並	
秉	
炳	
柄	
丙	
饼	
兵	
冰	
病	
并	
鵓	
鱍	
挬	
郣	
餑	
蹳	
餺	
鑮	
鉑	
胉	
葧	
鋍	
瓝	
欂	
懪	
秡	
糪	
鉢	
襮	
犦	
鈸	
僠	
譒	
簙	
詙	
蔔	
狛	
蘗	
嶓	
駮	
鹁	
駁	
饽	
缽	
檗	
愽	
鎛	
踣	
浡	
礡	
魄	
礴	
剝	
僰	
簸	
钹	
撥	
亳	
菠	
箔	
跛	
舶	
渤	
帛	
癶	
铂	
脖	
玻	
钵	
卜	
驳	
膊	
泊	
勃	
搏	
啵	
拨	
播	
博	
波	
轐	
篰	
峬	
踄	
誧	
蔀	
醭	
餔	
鈽	
鳪	
鸔	
咘	
钸	
晡	
瓿	
埔	
佈	
歩	
逋	
補	
钚	
怖	
哺	
吥	
卟	
埠	
簿	
捕	
步	
布	
补	
部	
不	
汃	
跁	
舥	
鈀	
袙	
筢	
帊	
杷	
掱	
葩	
琶	
啪	
趴	
帕	
爬	
怕	
箄	
鎃	
犤	
簰	
棑	
蒎	
迫	
俳	
徘	
湃	
哌	
牌	
排	
派	
拍	
瀊	
坢	
縏	
蒰	
碆	
蹣	
沜	
眅	
詊	
褩	
頖	
溿	
跘	
鞶	
牓	
磻	
蹒	
拚	
籓	
襻	
幋	
槃	
媻	
牉	
袢	
盤	
丬	
爿	
胖	
蟠	
泮	
番	
磐	
叛	
畔	
攀	
盼	
判	
潘	
盘	
舽	
夆	
徬	
汸	
龐	
耪	
雱	
尨	
螃	
嗙	
彷	
乓	
逄	
滂	
庞	
颮	
穮	
麭	
蚫	
奅	
皰	
鞄	
袌	
鉋	
垉	
麃	
萢	
瓟	
脬	
砲	
嚗	
炰	
褜	
匏	
狍	
脟	
拋	
咆	
庖	
疱	
袍	
抛	
泡	
跑	
翸	
葐	
歕	
翉	
呠	
衯	
湓	
噴	
盆	
喷	
皏	
樥	
駍	
掽	
鑝	
閛	
恲	
憉	
髼	
篣	
軯	
鬅	
痭	
匉	
韸	
漰	
熢	
錋	
輣	
絣	
摓	
磞	
剻	
傰	
蟛	
弸	
鵬	
抨	
怦	
堋	
踫	
椪	
芃	
嘭	
篷	
膨	
砰	
澎	
硼	
烹	
蓬	
棚	
朋	
捧	
鹏	
彭	
碰	
怌	
毰	
陫	
裵	
琣	
茷	
柸	
蓜	
轡	
浿	
俖	
锫	
衃	
賠	
伂	
帔	
姵	
旆	
醅	
霈	
辔	
珮	
胚	
沛	
呸	
裴	
佩	
培	
赔	
配	
陪	
銢	
魾	
髬	
否	
螷	
鷿	
礔	
銔	
蠯	
揊	
箆	
豼	
秠	
鵧	
狉	
稫	
猈	
粃	
駓	
鈲	
岯	
蚽	
錍	
鴄	
膍	
阰	
蚾	
憵	
鈚	
羆	
諀	
鎞	
毞	
闢	
澼	
疋	
紕	
貔	
蚍	
埤	
陴	
毘	
笓	
伓	
纰	
郫	
砒	
庀	
枇	
甓	
淠	
仳	
鈹	
