字根	字根码	字根扩展码	Unicode分区	部件映射	电子设备显示兼容	准备弃用	
𡈼	Gr		扩展B区			
甲	Gs		基本区			
曱	Gs	Gsv	基本区			
	Gsi		私用区		厶	
	Gsi		私用区		厶	
厶	Gsi		基本区			
玉	Gv		基本区			
王	Gw		基本区			
	Gw		私用区		王	
王	Gw		兼容区		王	
甴	Gy	Gyv	基本区			
由	Gy		基本区			
𨑄	Hc		扩展B区		辰	
𨑃	Hc		扩展B区		辰	
𫝕	Hc		扩展D区		辰	
辰	Hc	Hcv	基本区			
辰	Hc		兼容区			
	Hd		私用区		丁	
丁	Hd		基本区			
𠫔	Hg		扩展B区		⿱一厶	
	Hg		私用区	𠫔	⿱一厶	是
㇀	Hi		汉字笔画			
一	Hi		基本区			
㇐	Hi		汉字笔画		一	
⼕	Hk		康熙部首	匚		
匸	Hk		基本区			
匚	Hk	Hkv	基本区			
ㄈ	Hk		注音符号			
𠥓	Hk		扩展B区		⼕	
可	Ho		基本区			
甫	Hp		基本区			
兂	Hr		基本区			
旡	Hr		基本区			
五	Hu		基本区			
三	Hv		基本区			
ㄤ	Hy		注音符号			
尤	Hy		基本区			
尢	Hy		基本区			
𡯁	Hy		扩展B区			
	Hz		私用区		七	
七	Hz		基本区			
	Hz		私用区		七	
〦	I		标点符号			
⼇	I		康熙部首	亠		
亠	I		基本区			
曲	Ia		基本区			
㐭	Ia		扩展A区			
𡆪	Ia		扩展B区		曲	
音	Ib		基本区			
𠕋	Ice		兼容区		册	
	Ice		私用区		冊	
冊	Ice		基本区			
册	Ice		基本区			
	Ice		私用区		册	
	Ice		私用区		册	
𠕋	Ice		扩展B区		冊	
	Ice		私用区		冊	
	Ice		私用区		冊	
⽅	If		康熙部首	方		
方	If		基本区			
立	Ih		基本区			
	Ih		私用区		立	
立	Ih		兼容区			
讠	Ii		基本区			
𧥛	Ii		扩展B区		言	
言	Ii		基本区			
𧥜	Ii		扩展B区		言	
訁	Ii		基本区			
⾔	Ii		康熙部首	言		
	Io		私用区		高	
	Io		私用区		高	
	Io		私用区		高	
	Io		私用区		高	
髙	Io		基本区			
高	Io		基本区			
	Io		私用区		高	
	Io		私用区		高	
𪗄	Iq		扩展B区		齊	
	Iq		私用区		⿑	
𠫼	Iq		扩展B区		齊	
齐	Iq	Iqv	基本区			
𠫸	Iq		扩展B区		齊	
⿑	Iq		康熙部首	齊		
齊	Iq		基本区			
斉	Iq		基本区			
六	Iv		兼容区			
六	Iv		基本区			
龠	Iv	Ivv	基本区			
	Iv		私用区		六	
⽂	Ix		康熙部首	文		
文	Ix		基本区			
亡	Iz		基本区			
壴	Izu		基本区			
	J		私用区		〢	
	J		私用区		リ	
	J		私用区		〢	
〢	J		标点符号			
リ	J		日文片假名			
	Ja		私用区		戕	
⼑	Jd		康熙部首	刀		
ㄉ	Jd		注音符号			
	Jd		私用区		⼑	
	Jd		私用区		⼑	
	Jd		私用区		刂	
𠚣	Jd		扩展B区		ㄉ	
刀	Jd		基本区			
刂	Jd		基本区			
	Jd		私用区		リ	
	Jd		私用区		ㄉ	
𢎗	Jg		扩展B区		弓	
弓	Jg	Jgv	基本区			
干	Jg		基本区			
𢎜	Jg		扩展B区		弓	
