###字根..##
壬由王甲 玉田厶貝	g
小(⺌𡭔)	wi
气	wq
光	wr
雨(⻗𠕒𠕘𠕲)	ws
火(灬) ()	wu
 云	wv
不(𣎴)	ww
 乂yi(㐅〤)	x
支	xc
彐(ㅌ𠀉)	xji
釆	xm
攴u(攵)	xp
聿(肀𦘒)	xv
爻vv vv	xx
ス 又(ㄡ)	xy
爪w(𤓰爫⺥)	xz
彡(〃)	y
幺ov(⼳)	ya
镸v(長长⻑⻒𨱗𨱘)	yc
也	ye
革	yge
衣(衤v⾐衣)	yi
巾v()	yj
麻a(⿇麻)	ym
糸(纟糹⽷)	ys
㡀()	yv
韦(韋)	yw
乡	yx
乛(フ乁⺄㇈ヿ㇅㇎ㄋ㇗㇞ㄅㄥㄑレ㇢)	z
(ㄟ𠃍㇊㇍㇋㇌ㄣ㇉㇛く㇙㇂㇃㇁の)	z
コ乚(㇆⺃㇄)	z
龴	zd
艮(⾉)	zg
卩(⺋卪㔾ㄗ𠁾⼙)	zi
己(⼰)	zj
乃	zn
()	zp
丩	zs
巳(⺒)	zsi
予(𠄔)	zv
已	zy
乙(𠃉)	zyi
